2022-02-11/10:47:50		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-11/10:47:50		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-11/10:47:51		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-11/10:47:51		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-11/10:47:52		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-11/10:47:53		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-11/10:47:53		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-11/10:47:54		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-11/11:00:27		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-11/11:00:28		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-11/11:00:28		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-11/11:00:29		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-11/11:00:29		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-11/11:00:30		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-11/11:00:31		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-11/11:00:32		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-11/11:00:32		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-11/11:11:39		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-11/11:11:39		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-11/11:11:40		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-11/11:11:40		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-11/11:11:41		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-11/11:11:41		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-11/11:11:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-11/11:11:43		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-11/11:11:43		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-11/11:13:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-11/11:13:24		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-11/11:13:24		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-11/11:13:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-11/11:13:25		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-11/11:13:26		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-11/11:13:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-11/11:13:27		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-11/11:13:28		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-11/12:21:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-11/12:21:34		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-11/12:21:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-11/12:21:35		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-11/12:21:36		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-11/12:21:36		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-11/12:21:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-11/12:21:37		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-11/12:21:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-11/12:25:00		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-11/12:25:00		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-11/12:25:00		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-11/12:25:01		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-11/12:25:01		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-11/12:25:01		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-11/12:25:02		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-11/12:25:03		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-11/12:25:03		 wafer_29012020_050617.csv: File Transformed successfully!!
